site,CLASS,lat,lon,noflowfraction_mean,n_years
9537200,Ref,31.5900961,-109.5089559,0.19286165877777778,36
10257550,Non-ref,33.8989045,-116.6211256,0.2030958990625,32
10257600,Ref,34.01112284,-116.6280689,0.27454091657894736,38
10257720,Non-ref,33.8441843,-116.6052929,0.3590011883125,32
10258000,Ref,33.80501929,-116.5591816,0.23544880060526316,38
10258500,Ref,33.74502178,-116.5355709,0.5812380398461539,39
10259200,Ref,33.63113647,-116.3922342,0.42024832966666664,39
10260950,Non-ref,34.33889196,-117.2578213,0.5542443296923077,39
10311300,Non-ref,39.165275,-119.722225,0.055250914696969695,33
10324500,Non-ref,40.83040556,-116.5883417,0.09204089817948717,39
10333000,Non-ref,40.6924048,-118.204312,0.06542789743589743,39
11014000,Non-ref,32.6375566,-116.8841893,0.3727372535151515,33
11015000,Ref,32.8347737,-116.6230747,0.3195755862307692,39
11025500,Non-ref,33.1069866,-116.866137,0.31148711802564105,39
11028500,Non-ref,33.0522655,-116.9455844,0.3527467316923077,39
11042000,Non-ref,33.21809119,-117.3603162,0.19994456616216216,37
11042400,Non-ref,33.45919759,-116.9236357,0.04583663289473684,38
11043000,Non-ref,33.47975066,-117.1439203,0.04549684158974359,39
11046000,Non-ref,33.3111436,-117.3472604,0.2646764562777778,36
11046530,Non-ref,33.5025264,-117.6481058,0.4536732055757576,33
11051500,Non-ref,34.10834489,-117.1005911,0.08053650569230769,39
11055500,Non-ref,34.11834458,-117.141704,0.11117713782051282,39
11057500,Non-ref,34.0614024,-117.2675419,0.1687117559736842,38
11059300,Non-ref,34.0650131,-117.3003208,0.21057099702564103,39
11060400,Non-ref,34.07834596,-117.3003209,0.05686151687179487,39
11062000,Non-ref,34.2122298,-117.458105,0.28333784384615385,39
11063680,Non-ref,34.20834107,-117.331434,0.18434426164102563,39
11065000,Non-ref,34.07890146,-117.3055989,0.6906213292894737,38
11069500,Non-ref,33.73807629,-116.8339098,0.26132387423529413,34
11070500,Non-ref,33.66418858,-117.293927,0.106672348,39
11075720,Non-ref,33.91334748,-117.8425584,0.7421483321538461,39
11075800,Non-ref,33.70890848,-117.635605,0.44668589884615384,39
11077500,Non-ref,33.7702946,-117.8845014,0.9327637948421053,38
11078000,Non-ref,33.75112815,-117.9083906,0.6933486744736842,38
11085000,Non-ref,34.11223019,-117.9695092,0.8029609930512821,39
11087020,Non-ref,34.03417767,-118.0381225,0.07735512976923077,39
11088500,Non-ref,33.88779206,-117.9264496,0.043102220538461536,39
11097000,Non-ref,34.25361395,-118.38897,0.5857184535641026,39
11102300,Non-ref,34.0166788,-118.0884018,0.1910940258974359,39
11109600,Non-ref,34.52304728,-118.7570362,0.05111045853846154,39
11118500,Non-ref,34.35222038,-119.3084466,0.13346615453846153,39
11119500,Non-ref,34.4013836,-119.4865103,0.6540853465128205,39
11119750,Non-ref,34.4275,-119.7252778,0.786666454918919,37
11119940,Non-ref,34.4449965,-119.80375,0.6817901363589743,39
11120000,Non-ref,34.4247189,-119.811805,0.1994429302051282,39
11120500,Ref,34.45916286,-119.8090283,0.07690170571052632,38
11123000,Non-ref,34.5244391,-119.6873579,0.6091095142564102,39
11123500,Non-ref,34.54360358,-119.8648627,0.44212320989743586,39
11124500,Ref,34.5966563,-119.9087519,0.31494638966666666,39
11128250,Non-ref,34.61831975,-120.120703,0.4732441237878788,33
11128500,Non-ref,34.58498706,-120.1445926,0.29609154663888887,36
11133000,Non-ref,34.63609474,-120.424606,0.27504115163157894,38
11136800,Non-ref,35.0219213,-120.2284868,0.3126251196666667,39
11140000,Non-ref,34.89386807,-120.3065463,0.7569717442307692,39
11141050,Non-ref,34.88359037,-120.4948883,0.08003610190625,32
11143250,Non-ref,36.5391278,-121.8805084,0.42502824917948717,39
11147500,Non-ref,35.6285813,-120.6843373,0.534483954974359,39
11148900,Ref,35.78857918,-121.0938048,0.34641511174358974,39
11149900,Non-ref,35.89663404,-121.0882491,0.4487368272820513,39
11151300,Ref,36.26802087,-121.066303,0.08213603289473684,38
